country,layer,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_it,co2_g_facility,d_cfe_vs_fcfs_pp,d_ci_vs_fcfs_g,d_cfe_vs_easy_fcfs_pp,d_ci_vs_easy_fcfs_g,d_cfe_vs_saf_pp,d_ci_vs_saf_g,d_cfe_vs_replay_pp,d_ci_vs_replay_g
IT,fsla_none,7343.8528,256.2470,67.9691,1822237.4573,19910062.9988,4.8940,39.1517,4.8940,39.1517,4.8940,39.1517,4.8940,39.1517
IT,replay,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IT,saf,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
PL,easy_fcfs,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,fcfs,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,fsla_M0,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M1,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M2,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M3,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_none,7343.8528,601.6372,24.7953,4259986.5530,46065107.0642,13.0020,104.0160,13.0020,104.0160,13.0020,104.0160,13.0020,104.0160
PL,replay,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,saf,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
SE,easy_fcfs,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,fcfs,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,fsla_M0,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M1,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M2,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M3,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_none,7343.8528,11.4828,98.5646,83311.8394,953433.8768,0.0835,0.6677,0.0835,0.6677,0.0835,0.6677,0.0835,0.6677
SE,replay,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,saf,4839.9593,12.1505,98.4812,58811.4058,70573.6869,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
