workload,pcap_w,sm_mhz,L,measured_w,predicted_w,residual_pct
bursty_alternating,150.0,1380.0,0.854092645244207,139.62469270166454,139.241064099899,-0.27475698914176616
bursty_alternating,150.0,405.0,0.17440149723127396,61.28274311410905,60.870433058006476,-0.6727996090756762
bursty_alternating,150.0,945.0,0.7102471371791252,109.41671395579017,113.89626509203225,4.0940282103994114
bursty_alternating,200.0,1380.0,0.9803734330286715,182.03792310456342,183.93643188692056,1.0429193818403588
bursty_alternating,200.0,405.0,0.1752839943860967,60.85019541013406,61.059476772105235,0.3439288248141238
bursty_alternating,200.0,945.0,0.7154462911642839,117.31625954198473,115.3142852820175,-1.706476380838567
bursty_alternating,250.0,1380.0,0.9998177741694824,191.50349688758698,190.81849204755386,-0.3576983455478182
bursty_alternating,250.0,405.0,0.17483602906365917,60.86357946870779,60.96351609067046,0.1641977399867691
bursty_alternating,250.0,945.0,0.715088764979981,116.56790119363396,115.21677338888313,-1.1590907882148773
bursty_alternating,300.0,1380.0,1.0,191.73362005856515,190.88298840252736,-0.44365284282326967
bursty_alternating,300.0,405.0,0.17470676459036905,60.84945405526848,60.9358257621541,0.1419432733236553
bursty_alternating,300.0,945.0,0.7149189133045512,116.25942033786022,115.17044794713823,-0.9366745400564883
inference_memory_bound,150.0,1380.0,0.8294330046843087,147.23597578870138,145.56754079231283,-1.1331707399983066
inference_memory_bound,150.0,405.0,0.1768000733257812,67.094379776602,67.20996922705224,0.1722788865999086
inference_memory_bound,150.0,945.0,0.7919729111985726,140.22253201609954,141.44558479449537,0.8722227168565289
inference_memory_bound,200.0,1380.0,0.9668593079959918,196.43453211009174,204.97652112087854,4.348516993946588
inference_memory_bound,200.0,405.0,0.1781030337522724,67.09893638850889,67.50385716706242,0.603468252028622
inference_memory_bound,200.0,945.0,0.7943385567454732,143.22923217550274,142.18402940541205,-0.729741236628275
inference_memory_bound,250.0,1380.0,0.9998784951295103,222.43791559633027,219.25061706619,-1.4328935431693397
inference_memory_bound,250.0,405.0,0.17685716340399232,67.21771287128712,67.22284612272716,0.007636754094671931
inference_memory_bound,250.0,945.0,0.7937646562569399,142.35658750456705,142.0048843413871,-0.24705787722584377
inference_memory_bound,300.0,1380.0,1.0,222.99109724770642,219.30314325867852,-1.6538570528361467
inference_memory_bound,300.0,405.0,0.17686549715201016,67.75173755357731,67.224725832953,-0.7778571290626468
inference_memory_bound,300.0,945.0,0.7933360894259887,141.6941857923497,141.87110569177148,0.12486038042593697
matmul_compute_bound,150.0,1380.0,0.8439319488411194,146.6728371335505,146.39732587946912,-0.1878406796143976
matmul_compute_bound,150.0,405.0,0.16437767111352303,59.99484187902978,61.32751183001521,2.221307547859788
matmul_compute_bound,150.0,945.0,0.6929505022344449,114.04840428886786,116.33071700448713,2.0011789992593907
matmul_compute_bound,200.0,1380.0,0.9794509940131381,196.094431256182,197.54909543945953,0.7418182015465492
matmul_compute_bound,200.0,405.0,0.16230714922704065,60.919517027863776,60.8575700536618,-0.10168658128664977
matmul_compute_bound,200.0,945.0,0.6941253236040382,115.61198617221874,116.6714168341995,0.9163674953240688
matmul_compute_bound,250.0,1380.0,0.9998376079950427,205.4657924403183,205.24403882684246,-0.10792726654985806
matmul_compute_bound,250.0,405.0,0.16152230718420207,61.261019317714755,60.67943618983918,-0.9493526786737609
matmul_compute_bound,250.0,945.0,0.6936786515591751,115.3260945818979,116.54188132049427,1.0542165179563787
matmul_compute_bound,300.0,1380.0,1.0,206.27420026437542,205.30533381608484,-0.4696983176028881
matmul_compute_bound,300.0,405.0,0.16143656696279882,61.35835318275154,60.65997592128842,-1.1381942722338954
matmul_compute_bound,300.0,945.0,0.697464030569333,122.17647206528562,117.63964649359804,-3.713338169777329
