grid,scale,n_hosts,ffr_quality,cfe_pct,ar4_mae,tracking_err_mean_w,obj_mean,mean_op_frac,ffr_band_frac,op_savings_pct,net_savings_pct
CH,rack_4node,4,1.0,70.0013207567617,0.0005531337246513466,146.87486074473296,2.9586842864957186,0.4,0.2,17.783775,20.91420978260869
CH,cluster_1mw,125,1.0,70.0013207567617,0.0005531337246513466,146.87486074473296,2.9586842864957186,0.4,0.2,17.160249999999998,20.13416304347827
CH,cluster_10mw,1250,1.0,70.0013207567617,0.0005531337246513466,146.87486074473296,2.9586842864957186,0.4,0.2,17.783775,20.91420978260869
CH,cluster_50mw,6250,1.0,70.0013207567617,0.0005531337246513466,146.87486074473296,2.9586842864957186,0.4,0.2,17.783775,20.998060714285717
IT,rack_4node,4,1.0,30.001320756761697,0.0005531337246513466,146.8748607447429,0.8759533641917614,0.4,0.2,14.1187,20.0640993933266
IT,cluster_1mw,125,1.0,30.001320756761697,0.0005531337246513466,146.8748607447429,0.8759533641917614,0.4,0.2,13.566999999999998,19.215129423660255
IT,cluster_10mw,1250,1.0,30.001320756761697,0.0005531337246513466,146.8748607447429,0.8759533641917614,0.4,0.2,14.1187,20.0640993933266
IT,cluster_50mw,6250,1.0,30.001320756761697,0.0005531337246513466,146.8748607447429,0.8759533641917614,0.4,0.2,14.1187,20.22335116279069
DE,rack_4node,4,1.0,50.00132075676169,0.0005531337246513466,146.87486074475282,0.8724438994184421,0.4,0.2,18.160898,25.942769775976423
DE,cluster_1mw,125,1.0,50.00132075676169,0.0005531337246513466,146.87486074475282,0.8724438994184421,0.4,0.2,17.48218,24.8749581871776
DE,cluster_10mw,1250,1.0,50.00132075676169,0.0005531337246513466,146.87486074475282,0.8724438994184421,0.4,0.2,18.160898,25.942769775976416
DE,cluster_50mw,6250,1.0,50.00132075676169,0.0005531337246513466,146.87486074475282,0.8724438994184421,0.4,0.2,18.160898,26.1512127699758
