workload,country,scheduler,ci_avg_g_kwh,it_co2_kg,facility_co2_kg,it_co2_red_pct,facility_co2_red_pct,p50_slow,p95_slow,p99_slow,avg_pue,elapsed_s
M100,CH,FCFS,22.453514444232177,53.794471165692734,62.939531263860495,0.0,0.0,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.00614166259765625
M100,CH,ProACT-OPT,22.453514444232177,36.35650054724528,42.53710564027698,32.415916060846904,32.41591606084692,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.009689807891845703
M100,CH,ProACT-OPT-PUE,22.453514444232177,36.376813685073905,71.35728342672321,32.37815541855701,-13.374348352823118,2.038205638424955,13.281656025656094,33.939840909090854,1.577147825936912,0.012181997299194336
M100,CH,CarbonScaler,22.453514444232177,32.43100850763474,37.94427995393264,39.713119573675584,39.71311957367559,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.015411138534545898
M100,CH,Threshold,22.453514444232177,43.441484312142485,50.8265366452067,19.245447774106626,19.245447774106637,34.07537675808467,310.8034044715447,627.8659761904761,1.17,0.006302595138549805
M100,CH,ProACT++,22.453514444232177,52.529890353471714,61.459971713561906,2.350763535393763,2.350763535393763,2.4247818704553827,13.281656025656094,33.939840909090854,1.17,0.00997161865234375
M100,IT,FCFS,185.71739539690552,405.07771567657744,473.9409273415955,0.0,0.0,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.0051419734954833984
M100,IT,ProACT-OPT,185.71739539690552,272.4461378810819,318.7619813208658,32.74225479769205,32.74225479769204,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.008986711502075195
M100,IT,ProACT-OPT-PUE,185.71739539690552,272.52856836321064,548.2191161557031,32.72190549706684,-15.672457162698494,2.038205638424955,13.281656025656094,33.939840909090854,1.4795495484966485,0.011730432510375977
M100,IT,CarbonScaler,185.71739539690552,252.66346428428938,295.6162532126185,37.62592843146641,37.62592843146641,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.006358146667480469
M100,IT,Threshold,185.71739539690552,373.10843112765593,436.53686441935747,7.892136079498979,7.892136079498979,10.039127514510447,68.81591324200868,203.2090097402597,1.17,0.005840301513671875
M100,IT,ProACT++,185.71739539690552,393.57979976059,460.4883657198903,2.838446913028303,2.838446913028303,2.3810239952412475,13.281656025656094,33.939840909090854,1.17,0.009956598281860352
M100,DE,FCFS,230.55539168959058,529.5966586931692,619.6280906710078,0.0,0.0,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.005138874053955078
M100,DE,ProACT-OPT,230.55539168959058,355.6684634214258,416.1321022030682,32.841633801264514,32.841633801264514,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.008865118026733398
M100,DE,ProACT-OPT-PUE,230.55539168959058,355.97768695090116,702.4573193772608,32.783245304207455,-13.367571605179386,2.038205638424955,13.281656025656094,33.939840909090854,1.4701144353694664,0.021062612533569336
M100,DE,CarbonScaler,230.55539168959058,318.8960123116156,373.10833440459027,39.78511626215272,39.785116262152734,2.038205638424955,13.281656025656094,33.939840909090854,1.17,0.00595402717590332
M100,DE,Threshold,230.55539168959058,477.19113931926205,558.3136330035367,9.895364427566966,9.895364427566955,12.741086538112357,92.30846153846112,244.17654220779212,1.17,0.006001949310302734
M100,DE,ProACT++,230.55539168959058,513.8049823118553,601.1518293048706,2.9818308182459785,2.9818308182459896,2.554107499710133,13.281656025656094,33.939840909090854,1.17,0.00975656509399414
