workload,country,scheduler,co2_kg,baseline_co2_kg,co2_red_pct,facility_co2_kg,facility_co2_red_pct,energy_kwh,cfe,p50_slow,p95_slow,p99_slow,mean_slow,max_slow,jain,ettr,avg_pue
M100,CH,FCFS,63.281382860698706,63.281382860698706,0.0,99.1258887436928,0.0,2674.5,47.44305898695246,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,CH,QoS-bounded,40.62218088324443,63.281382860698706,35.80705881117354,53.98601169654352,45.537929212283046,1858.1941666666667,69.34344242584069,2.941217445183986,35.80992083304639,181.21254114280836,10.454964771401865,248.28015564202335,0.11439549168695708,0.43901934201509624,1.32897866443235
M100,CH,ProACT++,62.36818874085636,63.281382860698706,1.4430691596177048,82.88599217588802,16.383103116276555,2674.5,49.278668969174525,2.2432626783610954,13.281656025656094,33.939840909090854,4.47032624130723,54.3134328358209,0.31371603072859916,0.628701333574174,1.32897866443235
M100,CH,ProACT-OPT,43.05954584124047,63.281382860698706,31.95542844563395,57.22521772315532,42.27015924051783,1858.1941666666676,50.06774933169399,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.32897866443235
M100,CH,ProACT-OPT-PUE,43.00982041165149,63.281382860698706,32.03400673729113,71.96652237750449,27.398862910993483,1858.1941666666692,50.211611750523375,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.333161025959149
M100,CH,CarbonScaler,38.23515367120148,63.281382860698706,39.57914327604295,50.813703460319005,48.73821147600839,1858.1941666666662,64.02537086860623,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,CH,Threshold,60.8896472151199,63.281382860698706,3.779524936810774,80.921042033707,18.36538056880135,2674.5,52.25068283216382,5.884703196347032,61.720166432255006,150.5149248844371,17.469938232543278,207.02597402597402,0.24478922151613514,0.3829945383924315,1.32897866443235
M100,IT,FCFS,524.2677074203123,524.2677074203123,0.0,835.2160441765067,0.0,2674.5,51.34920168081596,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,IT,QoS-bounded,332.2572353126787,524.2677074203123,36.624508698510446,441.56277683382876,47.13190917336916,1858.1941666666664,71.85481373089152,4.562077136479976,39.155979388784885,169.19082569850391,11.107559807251734,234.27237354085602,0.1438778182726525,0.38248609675500606,1.32897866443235
M100,IT,ProACT++,510.1462847729009,524.2677074203123,2.693551871980937,677.9735282026152,18.826567936554305,2674.5,55.03020870469047,2.554107499710133,13.281656025656094,33.939840909090854,4.573951283945961,54.3134328358209,0.3254124017955861,0.5900731435216185,1.32897866443235
M100,IT,ProACT-OPT,352.87368604356857,524.2677074203123,32.69208058228443,468.96159999150217,43.85146175515801,1858.1941666666678,55.618008581181954,2.038205638424955,13.281656025656094,33.939840909090854,4.346883617584612,54.3134328358209,0.29940349529241295,0.6904758893259583,1.32897866443235
M100,IT,ProACT-OPT-PUE,353.1952172189758,524.2677074203123,32.630751003739654,601.9355944368904,27.930551785511092,1858.1941666666694,55.49737650771564,2.038205638424955,13.281656025656094,33.939840909090854,4.346883617584612,54.3134328358209,0.29940349529241306,0.6904758893259583,1.4229658818850117
M100,IT,CarbonScaler,328.7703268599569,524.2677074203123,37.289609448255135,436.92874989533266,47.6867389052459,1858.1941666666662,64.66110741020262,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,IT,Threshold,486.39627182447373,524.2677074203123,7.22368268344945,646.4102677141634,22.605621357345818,2674.5,61.2210838497168,10.039127514510447,68.81591324200868,203.2090097402597,22.373541418352275,305.9166666666667,0.26729698616043823,0.29633272831631086,1.32897866443235
M100,DE,FCFS,651.2376835648716,651.2376835648716,0.0,1026.8010635264836,0.0,2674.5,52.55935687754288,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,DE,QoS-bounded,406.3877469352772,651.2376835648716,37.597630298247964,540.0806451637167,47.40162779839323,1858.1941666666667,68.76306121268746,4.091590764866177,36.09420678359235,169.19082569850391,10.827954297563695,234.27237354085602,0.13723393516479324,0.3972524461149983,1.32897866443235
M100,DE,ProACT++,631.1802754660811,651.2376835648716,3.079890584493883,838.8251195049553,18.306948706883574,2674.5,55.803634321336915,2.267642685906597,13.281656025656094,33.939840909090854,4.484236596794092,54.3134328358209,0.3153177711869598,0.6205763271841123,1.32897866443235
M100,DE,ProACT-OPT,436.373494041799,651.2376835648716,32.993205851803175,579.9310633053481,43.52060161355781,1858.1941666666683,56.306293598398184,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.29824755871272307,0.7109207341856657,1.32897866443235
M100,DE,ProACT-OPT-PUE,436.18709146592045,651.2376835648716,33.02182866964415,734.284117000851,28.488181101118226,1858.1941666666694,56.34968928813328,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.3432958456782065
