country,mw,tier,seed,nodes,energy_kwh,ci_weighted_mean,cfe_canonical_pct,cfe_pct,cfe_abs_pct,co2_g_facility,p50_slowdown,p95_slowdown
CH,10,0,2,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,3,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,4,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,5,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,6,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,7,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,1,0,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,1,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,2,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,3,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,4,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,5,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,6,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,7,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,2,0,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,1,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,2,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,3,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,4,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,5,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,6,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,7,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,3,0,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,1,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,2,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,3,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,4,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,5,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,6,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,7,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,4,0,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,1,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,2,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,3,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,4,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,5,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,6,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,7,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,5,0,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,1,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,2,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,3,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,4,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,5,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,6,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,7,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,50,0,0,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,1,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,2,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,3,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,4,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
