country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,cfe_canonical_pct_mean,cfe_canonical_lift_pp_mean,cfe_lift_pp_vs_fcfs_mean,cfe_canonical_lift_pp_vs_fcfs_mean,ci_weighted_lift_g_vs_fcfs_mean,co2_avoided_t_y_vs_fcfs_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
SE,1.0000,pue,GridPilot-PUE,44.8869,1.8315,100.0000,0.0000,98.5846,0.0005,1.8315,0.0005,0.0039,0.7968,11.3236,0.0039,0.7968,46.6200,0.7478,159.0299
SE,1.0000,pue,none,43.0554,0.0000,100.0000,0.0000,98.5841,0.0000,0.0000,0.0000,0.0000,0.0000,11.3275,0.0000,0.0000,0.0000,0.8091,172.6894
SE,10.0000,fsla,M0,44.9850,0.5374,100.0000,0.0000,98.5838,-0.0008,1.7393,0.0001,0.0011,7.5329,11.3293,-0.0061,0.0152,-0.7659,0.7468,156.3983
SE,10.0000,fsla,M1,44.9850,0.5374,100.0000,0.0000,98.5838,-0.0008,1.7393,0.0001,0.0011,7.5329,11.3293,-0.0061,0.0152,-0.7659,0.7468,156.3983
SE,10.0000,fsla,M2,44.9850,0.5374,100.0000,0.0000,98.5838,-0.0008,1.7393,0.0001,0.0011,7.5329,11.3293,-0.0061,0.0152,-0.7659,0.7468,156.3983
SE,10.0000,fsla,M3,44.9850,0.5374,100.0000,0.0000,98.5838,-0.0008,1.7393,0.0001,0.0011,7.5329,11.3293,-0.0061,0.0152,-0.7659,0.7468,156.3983
SE,10.0000,fsla,none,44.4475,0.0000,100.0000,0.0000,98.5846,0.0000,1.2018,0.0009,0.0072,7.5178,11.3231,0.0000,0.0000,0.0000,0.7306,172.4286
SE,10.0000,pue,GridPilot-PUE,45.0275,1.7817,100.0000,0.0000,98.5827,-0.0010,1.7817,-0.0010,-0.0078,7.5343,11.3382,-0.0078,7.5343,48.2536,0.8470,149.0283
SE,10.0000,pue,none,43.2457,0.0000,100.0000,0.0000,98.5837,0.0000,0.0000,0.0000,0.0000,0.0000,11.3303,0.0000,0.0000,0.0000,0.7496,159.1382
SE,50.0000,fsla,M0,45.0146,0.5297,100.0000,0.0000,98.5837,-0.0007,1.7509,0.0000,0.0000,37.4615,11.3302,-0.0058,0.0745,-1.7572,0.7487,155.1955
SE,50.0000,fsla,M1,45.0146,0.5297,100.0000,0.0000,98.5837,-0.0007,1.7509,0.0000,0.0000,37.4615,11.3302,-0.0058,0.0745,-1.7572,0.7487,155.1955
SE,50.0000,fsla,M2,45.0146,0.5297,100.0000,0.0000,98.5837,-0.0007,1.7509,0.0000,0.0000,37.4615,11.3302,-0.0058,0.0745,-1.7572,0.7487,155.1955
SE,50.0000,fsla,M3,45.0146,0.5297,100.0000,0.0000,98.5837,-0.0007,1.7509,0.0000,0.0000,37.4615,11.3302,-0.0058,0.0745,-1.7572,0.7487,155.1955
SE,50.0000,fsla,none,44.4849,0.0000,100.0000,0.0000,98.5845,0.0000,1.2211,0.0007,0.0059,37.3869,11.3243,0.0000,0.0000,0.0000,0.6907,170.7893
SE,50.0000,pue,GridPilot-PUE,45.0478,1.7840,100.0000,-0.0000,98.5823,-0.0014,1.7840,-0.0014,-0.0111,37.4668,11.3413,-0.0111,37.4668,48.7158,0.8465,148.0858
SE,50.0000,pue,none,43.2638,0.0000,100.0000,0.0000,98.5837,0.0000,0.0000,0.0000,0.0000,0.0000,11.3302,0.0000,0.0000,0.0000,0.7493,157.9583
