t,gpu_index,power_w,sm_clock_mhz,util_gpu,pcap_set,rapl_pkg_uj
0.0000,0,84.21,1530,0.0,,197646145696
0.0000,1,77.31,1530,0.0,,197646145696
0.0000,2,74.10,1530,0.0,,197646145696
0.0136,0,84.21,1530,0.0,,197647013492
0.0136,1,77.31,1530,0.0,,197647013492
0.0136,2,74.10,1530,0.0,,197647013492
0.0265,0,84.16,1530,0.0,,197647875184
0.0265,1,77.31,1530,0.0,,197647875184
0.0265,2,74.10,1530,0.0,,197647875184
0.0395,0,83.67,1530,0.0,,197648697204
0.0395,1,77.25,1530,0.0,,197648697204
0.0395,2,74.10,1530,0.0,,197648697204
0.0525,0,83.67,1530,0.0,,197649585629
0.0525,1,77.25,1530,0.0,,197649585629
0.0525,2,74.05,1530,0.0,,197649585629
0.0654,0,84.16,1530,0.0,,197650468805
0.0654,1,77.25,1530,0.0,,197650468805
0.0654,2,74.10,1530,0.0,,197650468805
0.0783,0,83.67,1530,0.0,,197651336418
0.0783,1,77.25,1530,0.0,,197651336418
0.0783,2,74.10,1530,0.0,,197651336418
0.0936,0,83.67,1530,0.0,,197652351186
0.0936,1,76.77,1530,0.0,,197652351186
0.0936,2,73.62,1530,0.0,,197652351186
0.1369,0,83.67,1530,0.0,,197655311750
0.1369,1,76.77,1530,0.0,,197655311750
0.1369,2,73.62,1530,0.0,,197655311750
0.1499,0,83.67,1530,0.0,,197656198100
0.1499,1,76.77,1530,0.0,,197656198100
0.1499,2,73.57,1530,0.0,,197656198100
0.1628,0,83.67,1530,0.0,,197657026894
0.1628,1,76.77,1530,0.0,,197657026894
0.1628,2,73.57,1530,0.0,,197657026894
0.1769,0,83.67,1530,0.0,,197657990088
0.1769,1,76.77,1530,0.0,,197657990088
0.1769,2,73.57,1530,0.0,,197657990088
0.1891,0,83.67,1530,0.0,,197658874790
0.1891,1,76.77,1530,0.0,,197658874790
0.1891,2,73.57,1530,0.0,,197658874790
0.2300,0,83.67,1530,0.0,,197661654934
0.2300,1,76.77,1530,0.0,,197661654934
0.2300,2,73.57,1530,0.0,,197661654934
0.2437,0,83.67,1530,0.0,,197662615930
0.2437,1,76.77,1530,0.0,,197662615930
0.2437,2,73.57,1530,0.0,,197662615930
0.2566,0,83.67,1530,0.0,,197663510093
0.2566,1,76.77,1530,0.0,,197663510093
0.2566,2,73.57,1530,0.0,,197663510093
0.2694,0,83.19,1530,0.0,,197664402241
0.2694,1,76.77,1530,0.0,,197664402241
0.2694,2,73.57,1530,0.0,,197664402241
0.2822,0,83.19,1530,0.0,,197665231463
0.2822,1,76.77,1530,0.0,,197665231463
0.2822,2,73.57,1530,0.0,,197665231463
0.2968,0,83.19,1530,0.0,,197666260086
0.2968,1,76.77,1530,0.0,,197666260086
0.2968,2,73.57,1530,0.0,,197666260086
0.3096,0,83.19,1530,0.0,,197667153821
0.3096,1,76.77,1530,0.0,,197667153821
0.3096,2,73.57,1530,0.0,,197667153821
0.3228,0,83.19,1530,0.0,,197668049571
0.3228,1,76.77,1530,0.0,,197668049571
0.3228,2,73.57,1530,0.0,,197668049571
0.3356,0,83.19,1530,0.0,,197668939400
0.3356,1,76.77,1530,0.0,,197668939400
0.3356,2,73.57,1530,0.0,,197668939400
0.3483,0,83.19,1530,0.0,,197669783636
0.3483,1,76.77,1530,0.0,,197669783636
0.3483,2,73.57,1530,0.0,,197669783636
0.3612,0,83.19,1530,0.0,,197670658817
0.3612,1,76.28,1530,0.0,,197670658817
0.3612,2,73.57,1530,0.0,,197670658817
0.3752,0,83.19,1530,0.0,,197671574953
0.3752,1,76.28,1530,0.0,,197671574953
0.3752,2,73.08,1530,0.0,,197671574953
0.3885,0,83.19,1530,0.0,,197672418578
0.3885,1,76.28,1530,0.0,,197672418578
0.3885,2,73.08,1530,0.0,,197672418578
0.4017,0,83.19,1530,0.0,,197673289548
0.4017,1,76.28,1530,0.0,,197673289548
0.4017,2,73.08,1530,0.0,,197673289548
0.4156,0,83.19,1530,0.0,,197674130671
0.4156,1,76.28,1530,0.0,,197674130671
0.4156,2,73.08,1530,0.0,,197674130671
0.4287,0,83.19,1530,0.0,,197674941765
0.4287,1,76.28,1530,0.0,,197674941765
0.4287,2,73.08,1530,0.0,,197674941765
0.4420,0,83.19,1530,0.0,,197675766409
0.4420,1,76.28,1530,0.0,,197675766409
0.4420,2,73.08,1530,0.0,,197675766409
0.4558,0,83.19,1530,0.0,,197676653248
0.4558,1,76.28,1530,0.0,,197676653248
0.4558,2,73.08,1530,0.0,,197676653248
0.4690,0,83.19,1530,0.0,,197677484972
0.4690,1,76.28,1530,0.0,,197677484972
0.4690,2,73.08,1530,0.0,,197677484972
0.4822,0,83.19,1530,0.0,,197678363937
0.4822,1,76.28,1530,0.0,,197678363937
0.4822,2,73.08,1530,0.0,,197678363937
0.4968,0,83.19,1530,0.0,,197679223676
0.4968,1,76.28,1530,0.0,,197679223676
0.4968,2,73.03,1530,0.0,,197679223676
0.5413,0,83.08,1530,0.0,,197682682224
0.5413,1,76.13,1530,0.0,,197682682224
0.5413,2,73.03,1530,0.0,,197682682224
0.5589,0,83.02,1530,0.0,,197685138028
0.5589,1,76.13,1530,0.0,,197685138028
0.5589,2,72.98,1530,0.0,,197685138028
0.5813,0,83.02,1530,0.0,,197688202290
0.5813,1,76.13,1530,0.0,,197688202290
0.5813,2,72.98,1530,0.0,,197688202290
0.6003,0,83.02,1530,0.0,,197690879408
0.6003,1,76.13,1530,0.0,,197690879408
0.6003,2,72.98,1530,0.0,,197690879408
0.6213,0,83.02,1530,0.0,,197693841558
0.6213,1,76.13,1530,0.0,,197693841558
0.6213,2,72.98,1530,0.0,,197693841558
0.6379,0,83.02,1530,0.0,,197696248473
0.6379,1,76.13,1530,0.0,,197696248473
0.6379,2,72.98,1530,0.0,,197696248473
0.6515,0,82.59,1530,0.0,,197698074458
0.6515,1,76.13,1530,0.0,,197698074458
0.6515,2,72.98,1530,0.0,,197698074458
0.6644,0,82.59,1530,0.0,,197699889761
0.6644,1,76.13,1530,0.0,,197699889761
0.6644,2,72.98,1530,0.0,,197699889761
0.6766,0,82.59,1530,0.0,,197701386217
0.6766,1,76.18,1530,0.0,,197701386217
0.6766,2,73.03,1530,0.0,,197701386217
0.6900,0,82.70,1530,0.0,,197702124679
0.6900,1,76.18,1530,0.0,,197702124679
0.6900,2,73.08,1530,0.0,,197702124679
0.7028,0,82.70,1530,0.0,,197702699568
0.7028,1,75.80,1530,0.0,,197702699568
0.7028,2,73.08,1530,0.0,,197702699568
0.7148,0,82.70,1530,0.0,,197703263348
0.7148,1,75.80,1530,0.0,,197703263348
0.7148,2,73.08,1530,0.0,,197703263348
0.7282,0,82.70,1530,0.0,,197703960063
0.7282,1,75.80,1530,0.0,,197703960063
0.7282,2,73.08,1530,0.0,,197703960063
0.7416,0,82.70,1530,0.0,,197704590310
0.7416,1,75.80,1530,0.0,,197704590310
0.7416,2,73.08,1530,0.0,,197704590310
0.7536,0,82.70,1530,0.0,,197705163978
0.7536,1,75.80,1530,0.0,,197705163978
0.7536,2,73.08,1530,0.0,,197705163978
0.7674,0,82.70,1530,0.0,,197705828344
0.7674,1,75.80,1530,0.0,,197705828344
0.7674,2,73.08,1530,0.0,,197705828344
0.7816,0,82.70,1530,0.0,,197706494541
0.7816,1,75.80,1530,0.0,,197706494541
0.7816,2,73.08,1530,0.0,,197706494541
0.7941,0,82.70,1530,0.0,,197707099886
0.7941,1,75.80,1530,0.0,,197707099886
0.7941,2,73.08,1530,0.0,,197707099886
0.8076,0,82.70,1530,0.0,,197707817353
0.8076,1,75.80,1530,0.0,,197707817353
0.8076,2,73.08,1530,0.0,,197707817353
0.8218,0,82.70,1530,0.0,,197708552580
0.8218,1,75.80,1530,0.0,,197708552580
0.8218,2,73.08,1530,0.0,,197708552580
0.8339,0,82.70,1530,0.0,,197709160855
0.8339,1,75.80,1530,0.0,,197709160855
0.8339,2,73.08,1530,0.0,,197709160855
0.8477,0,82.70,1530,0.0,,197709899378
0.8477,1,75.80,1530,0.0,,197709899378
0.8477,2,73.08,1530,0.0,,197709899378
0.8619,0,82.70,1530,0.0,,197710629113
0.8619,1,75.80,1530,0.0,,197710629113
0.8619,2,73.08,1530,0.0,,197710629113
0.8743,0,82.70,1530,0.0,,197711236289
0.8743,1,75.80,1530,0.0,,197711236289
0.8743,2,72.59,1530,0.0,,197711236289
0.8878,0,82.70,1530,0.0,,197711967977
0.8878,1,75.80,1530,0.0,,197711967977
0.8878,2,72.59,1530,0.0,,197711967977
0.9021,0,82.70,1530,0.0,,197712701190
0.9021,1,75.80,1530,0.0,,197712701190
0.9021,2,72.59,1530,0.0,,197712701190
0.9143,0,82.70,1530,0.0,,197713321428
0.9143,1,75.80,1530,0.0,,197713321428
0.9143,2,72.59,1530,0.0,,197713321428
0.9278,0,82.70,1530,0.0,,197714053054
0.9278,1,75.80,1530,0.0,,197714053054
0.9278,2,72.59,1530,0.0,,197714053054
0.9421,0,82.70,1530,0.0,,197714785657
0.9421,1,75.80,1530,0.0,,197714785657
0.9421,2,72.59,1530,0.0,,197714785657
0.9543,0,82.22,1530,0.0,,197715411999
0.9543,1,75.80,1530,0.0,,197715411999
0.9543,2,72.59,1530,0.0,,197715411999
0.9688,0,82.22,1530,0.0,,197716202890
0.9688,1,75.80,1530,0.0,,197716202890
0.9688,2,72.59,1530,0.0,,197716202890
0.9822,0,82.22,1530,0.0,,197716893684
0.9822,1,75.80,1530,0.0,,197716893684
0.9822,2,72.59,1530,0.0,,197716893684
0.9943,0,82.22,1530,0.0,,197717518622
0.9943,1,75.80,1530,0.0,,197717518622
0.9943,2,72.59,1530,0.0,,197717518622
1.0086,0,82.22,1530,0.0,,197718258854
1.0086,1,75.80,1530,0.0,,197718258854
1.0086,2,72.59,1530,0.0,,197718258854
1.0225,0,82.22,1530,0.0,,197718989443
1.0225,1,75.80,1530,0.0,,197718989443
1.0225,2,72.59,1530,0.0,,197718989443
1.0346,0,82.22,1530,0.0,,197719597962
1.0346,1,75.80,1530,0.0,,197719597962
1.0346,2,72.59,1530,0.0,,197719597962
1.0488,0,82.22,1530,0.0,,197720326232
1.0488,1,75.80,1530,0.0,,197720326232
1.0488,2,72.59,1530,0.0,,197720326232
1.0626,0,82.22,1530,0.0,,197721044980
1.0626,1,75.85,1530,0.0,,197721044980
1.0626,2,72.59,1530,0.0,,197721044980
1.0748,0,82.22,1530,0.0,,197721647517
1.0748,1,75.85,1530,0.0,,197721647517
1.0748,2,72.59,1530,0.0,,197721647517
1.0889,0,82.22,1530,0.0,,197722368707
1.0889,1,75.85,1530,0.0,,197722368707
1.0889,2,72.59,1530,0.0,,197722368707
1.1034,0,82.22,1530,0.0,,197723152946
1.1034,1,75.31,1530,0.0,,197723152946
1.1034,2,72.59,1530,0.0,,197723152946
1.1155,0,82.22,1530,0.0,,197723756704
1.1155,1,75.31,1530,0.0,,197723756704
1.1155,2,72.59,1530,0.0,,197723756704
1.1290,0,82.22,1530,0.0,,197724439014
1.1290,1,75.31,1530,0.0,,197724439014
1.1290,2,72.59,1530,0.0,,197724439014
1.1428,0,82.22,1530,0.0,,197725208421
1.1428,1,75.80,1530,0.0,,197725208421
1.1428,2,72.59,1530,0.0,,197725208421
1.1892,0,82.22,1530,0.0,,197728282571
1.1892,1,75.31,1530,0.0,,197728282571
1.1892,2,72.59,1530,0.0,,197728282571
1.2038,0,82.22,1530,0.0,,197729179541
1.2038,1,75.31,1530,0.0,,197729179541
1.2038,2,72.59,1530,0.0,,197729179541
1.2159,0,82.22,1530,0.0,,197729960789
1.2159,1,75.31,1530,0.0,,197729960789
1.2159,2,72.59,1530,0.0,,197729960789
1.2285,0,82.22,1530,0.0,,197730826937
1.2285,1,75.31,1530,0.0,,197730826937
1.2285,2,72.59,1530,0.0,,197730826937
1.2431,0,82.22,1530,0.0,,197731804046
1.2431,1,75.31,1530,0.0,,197731804046
1.2431,2,72.59,1530,0.0,,197731804046
1.2552,0,82.22,1530,0.0,,197732587553
1.2552,1,75.31,1530,0.0,,197732587553
1.2552,2,72.59,1530,0.0,,197732587553
1.2678,0,82.22,1530,0.0,,197733369350
1.2678,1,75.31,1530,0.0,,197733369350
1.2678,2,72.59,1530,0.0,,197733369350
1.2799,0,82.22,1530,0.0,,197734146753
1.2799,1,75.31,1530,0.0,,197734146753
1.2799,2,72.59,1530,0.0,,197734146753
1.2940,0,82.22,1530,0.0,,197735064597
1.2940,1,75.31,1530,0.0,,197735064597
1.2940,2,72.59,1530,0.0,,197735064597
1.3067,0,82.22,1530,0.0,,197735904683
1.3067,1,75.31,1530,0.0,,197735904683
1.3067,2,72.59,1530,0.0,,197735904683
1.3188,0,82.22,1530,0.0,,197736689715
1.3188,1,75.31,1530,0.0,,197736689715
1.3188,2,72.59,1530,0.0,,197736689715
1.3331,0,82.22,1530,0.0,,197737602738
1.3331,1,75.31,1530,0.0,,197737602738
1.3331,2,72.59,1530,0.0,,197737602738
1.3470,0,82.22,1530,0.0,,197738524427
1.3470,1,75.31,1530,0.0,,197738524427
1.3470,2,72.59,1530,0.0,,197738524427
1.3590,0,82.22,1530,0.0,,197739304943
1.3590,1,75.31,1530,0.0,,197739304943
1.3590,2,72.59,1530,0.0,,197739304943
1.3736,0,82.22,1530,0.0,,197740273629
1.3736,1,75.31,1530,0.0,,197740273629
1.3736,2,72.59,1530,0.0,,197740273629
1.3866,0,82.22,1530,0.0,,197741108344
1.3866,1,75.31,1530,0.0,,197741108344
1.3866,2,72.59,1530,0.0,,197741108344
1.3994,0,82.22,1530,0.0,,197741872014
1.3994,1,75.31,1530,0.0,,197741872014
1.3994,2,72.59,1530,0.0,,197741872014
1.4136,0,82.22,1530,0.0,,197742850466
1.4136,1,75.31,1530,0.0,,197742850466
1.4136,2,72.59,1530,0.0,,197742850466
1.4275,0,82.22,1530,0.0,,197743702698
1.4275,1,75.31,1530,0.0,,197743702698
1.4275,2,72.59,1530,0.0,,197743702698
1.4395,0,82.22,1530,0.0,,197744501707
1.4395,1,75.31,1530,0.0,,197744501707
1.4395,2,72.59,1530,0.0,,197744501707
1.4538,0,82.22,1530,0.0,,197745471309
1.4538,1,75.31,1530,0.0,,197745471309
1.4538,2,72.59,1530,0.0,,197745471309
1.4665,0,82.22,1530,0.0,,197746261285
1.4665,1,75.31,1530,0.0,,197746261285
1.4665,2,72.59,1530,0.0,,197746261285
1.4788,0,81.73,1530,0.0,,197747105277
1.4788,1,75.31,1530,0.0,,197747105277
1.4788,2,72.11,1530,0.0,,197747105277
1.4918,0,82.22,1530,0.0,,197747878468
1.4918,1,75.31,1530,0.0,,197747878468
1.4918,2,72.59,1530,0.0,,197747878468
1.5087,0,81.73,1530,0.0,,197748935167
1.5087,1,75.31,1530,0.0,,197748935167
1.5087,2,72.59,1530,0.0,,197748935167
1.5254,0,81.73,1530,0.0,,197750034408
1.5254,1,75.31,1530,0.0,,197750034408
1.5254,2,72.59,1530,0.0,,197750034408
1.5375,0,81.73,1530,0.0,,197750748273
1.5375,1,75.31,1530,0.0,,197750748273
1.5375,2,72.11,1530,0.0,,197750748273
1.5897,0,81.73,1530,0.0,,197753743627
1.5897,1,74.83,1530,0.0,,197753743627
1.5897,2,72.11,1530,0.0,,197753743627
1.6053,0,81.73,1530,0.0,,197754727694
1.6053,1,74.34,1530,0.0,,197754727694
1.6053,2,72.59,1530,0.0,,197754727694
1.6346,0,81.73,1530,0.0,,197756599576
1.6346,1,74.34,1530,0.01,,197756599576
1.6346,2,72.11,1530,0.0,,197756599576
1.6653,0,81.73,1530,0.0,,197758577965
1.6653,1,74.34,1530,0.01,,197758577965
1.6653,2,72.11,1530,0.0,,197758577965
1.6793,0,81.73,1530,0.0,,197759466146
1.6793,1,74.34,1530,0.01,,197759466146
1.6793,2,72.11,1530,0.0,,197759466146
1.7139,0,81.73,1530,0.0,,197761701919
1.7139,1,74.34,1530,0.01,,197761701919
1.7139,2,72.11,1530,0.0,,197761701919
1.7278,0,81.73,1530,0.0,,197762589917
1.7278,1,74.34,1530,0.01,,197762589917
1.7278,2,72.11,1530,0.0,,197762589917
1.7404,0,81.73,1530,0.01,,197763361095
1.7404,1,74.34,1530,0.01,,197763361095
1.7404,2,72.11,1530,0.0,,197763361095
1.7537,0,82.22,1530,0.01,,197764207223
1.7537,1,74.34,1530,0.01,,197764207223
1.7537,2,72.11,1530,0.0,,197764207223
1.7672,0,82.22,1530,0.01,,197765120001
1.7672,1,75.80,1530,0.01,,197765120001
1.7672,2,72.11,1530,0.0,,197765120001
1.7793,0,83.19,1530,0.01,,197765896733
1.7793,1,75.80,1530,0.01,,197765896733
1.7793,2,74.54,1530,0.0,,197765896733
1.7920,0,205.28,1530,0.01,,197766742006
1.7920,1,188.53,1530,0.01,,197766742006
1.7920,2,72.94,1530,0.0,,197766742006
1.8062,0,205.28,1530,0.01,,197767649536
1.8062,1,135.93,1530,0.12,,197767649536
1.8062,2,72.94,1530,0.0,,197767649536
1.8185,0,233.24,1530,0.01,,197768412901
1.8185,1,135.93,1530,0.12,,197768412901
1.8185,2,131.55,1530,0.11,,197768412901
1.8311,0,298.12,1350,0.01,,197769251705
1.8311,1,285.71,1342,0.12,,197769251705
1.8311,2,292.99,1402,0.11,,197769251705
1.8538,0,271.19,1185,0.01,,197770680961
1.8538,1,218.60,1102,0.12,,197770680961
1.8538,2,232.91,1110,0.11,,197770680961
1.9100,0,196.61,1117,0.68,,197774355878
1.9100,1,181.68,1132,0.12,,197774355878
1.9100,2,179.15,1110,0.11,,197774355878
1.9399,0,191.32,1125,0.68,,197776295021
1.9399,1,191.64,1162,0.12,,197776295021
1.9399,2,183.37,1147,0.11,,197776295021
1.9825,0,193.72,1147,0.68,,197779062776
1.9825,1,195.83,1170,1.0,,197779062776
1.9825,2,195.30,1155,0.96,,197779062776
2.0162,0,197.44,1147,0.68,,197781288844
2.0162,1,198.71,1177,1.0,,197781288844
2.0162,2,197.71,1162,0.96,,197781288844
2.0578,0,182.77,1147,0.68,,197783988727
2.0578,1,173.27,1200,1.0,,197783988727
2.0578,2,175.04,1170,0.96,,197783988727
2.1068,0,167.57,1230,1.0,,197787189830
2.1068,1,169.05,1282,1.0,,197787189830
2.1068,2,166.82,1260,0.96,,197787189830
2.1358,0,180.48,1260,1.0,,197789086371
2.1358,1,178.92,1290,1.0,,197789086371
2.1358,2,174.92,1290,0.96,,197789086371
2.1556,0,186.62,1282,1.0,,197790391116
2.1556,1,183.72,1305,1.0,,197790391116
2.1556,2,183.01,1290,1.0,,197790391116
2.1737,0,190.96,1290,1.0,,197791632812
2.1737,1,187.80,1305,1.0,,197791632812
2.1737,2,187.84,1290,1.0,,197791632812
2.1936,0,194.69,1290,1.0,,197793062801
2.1936,1,188.76,1305,1.0,,197793062801
2.1936,2,188.19,1290,1.0,,197793062801
2.2137,0,194.21,1290,1.0,,197794471977
2.2137,1,187.80,1305,1.0,,197794471977
2.2137,2,188.80,1290,1.0,,197794471977
2.2339,0,194.69,1290,1.0,,197795912220
2.2339,1,185.88,1305,1.0,,197795912220
2.2339,2,186.87,1290,1.0,,197795912220
2.2538,0,194.69,1297,1.0,,197797337326
2.2538,1,190.20,1305,1.0,,197797337326
2.2538,2,189.77,1290,1.0,,197797337326
2.2738,0,192.76,1297,1.0,,197798690716
2.2738,1,189.72,1305,1.0,,197798690716
2.2738,2,189.64,1290,1.0,,197798690716
2.2939,0,195.17,1297,1.0,,197800182656
2.2939,1,190.20,1305,1.0,,197800182656
2.2939,2,188.19,1290,1.0,,197800182656
2.3142,0,195.17,1297,1.0,,197801607335
2.3142,1,192.60,1327,1.0,,197801607335
2.3142,2,192.53,1312,1.0,,197801607335
2.3407,0,195.17,1297,1.0,,197803427948
2.3407,1,195.00,1327,1.0,,197803427948
2.3407,2,192.53,1312,1.0,,197803427948
2.3669,0,192.76,1297,1.0,,197805252833
2.3669,1,194.04,1327,1.0,,197805252833
2.3669,2,190.60,1312,1.0,,197805252833
2.3868,0,192.28,1297,1.0,,197806582481
2.3868,1,192.12,1327,1.0,,197806582481
2.3868,2,194.46,1312,1.0,,197806582481
2.4072,0,192.76,1297,1.0,,197808041339
2.4072,1,192.12,1327,1.0,,197808041339
2.4072,2,193.02,1312,1.0,,197808041339
2.4369,0,191.32,1305,1.0,,197810076246
2.4369,1,194.52,1327,1.0,,197810076246
2.4369,2,193.15,1312,1.0,,197810076246
2.4564,0,190.48,1305,1.0,,197811547312
2.4564,1,192.12,1327,1.0,,197811547312
2.4564,2,190.60,1312,1.0,,197811547312
2.4764,0,191.80,1305,1.0,,197812880987
2.4764,1,194.87,1327,1.0,,197812880987
2.4764,2,195.43,1320,1.0,,197812880987
2.4993,0,192.28,1305,1.0,,197814484621
2.4993,1,195.00,1327,1.0,,197814484621
2.4993,2,196.87,1320,1.0,,197814484621
2.5169,0,190.83,1305,1.0,,197815729674
