t,gpu_index,power_w,sm_clock_mhz,util_gpu,pcap_set,rapl_pkg_uj
0.5173,1,40.44,135,0.0,,186578282612
0.5173,2,38.60,135,0.0,,186578282612
0.5483,0,80.76,1530,0.0,,186582567086
0.5483,1,40.92,135,0.0,,186582567086
0.5483,2,38.60,135,0.0,,186582567086
0.5747,0,80.76,1530,0.0,,186586172301
0.5747,1,40.44,135,0.0,,186586172301
0.5747,2,38.60,135,0.0,,186586172301
0.5933,0,80.76,1530,0.0,,186588802787
0.5933,1,40.44,135,0.0,,186588802787
0.5933,2,38.60,135,0.0,,186588802787
0.6178,0,80.76,1530,0.0,,186592124862
0.6178,1,40.44,135,0.0,,186592124862
0.6178,2,38.62,135,0.0,,186592124862
0.6313,0,80.86,1530,0.0,,186592962506
0.6313,1,40.44,135,0.0,,186592962506
0.6313,2,38.65,135,0.0,,186592962506
0.6442,0,80.86,1530,0.0,,186593644328
0.6442,1,40.52,135,0.0,,186593644328
0.6442,2,38.65,135,0.0,,186593644328
0.6566,0,80.92,1530,0.0,,186594232522
0.6566,1,40.52,135,0.0,,186594232522
0.6566,2,38.16,135,0.0,,186594232522
0.6701,0,80.92,1530,0.0,,186594963416
0.6701,1,40.52,135,0.0,,186594963416
0.6701,2,38.16,135,0.0,,186594963416
0.6830,0,80.92,1530,0.0,,186595640600
0.6830,1,40.52,135,0.0,,186595640600
0.6830,2,38.16,135,0.0,,186595640600
0.6953,0,80.92,1530,0.0,,186596243259
0.6953,1,40.52,135,0.0,,186596243259
0.6953,2,38.16,135,0.0,,186596243259
0.7088,0,80.92,1530,0.0,,186596915255
0.7088,1,40.52,135,0.0,,186596915255
0.7088,2,38.65,135,0.0,,186596915255
0.7223,0,80.92,1530,0.0,,186597646210
0.7223,1,40.52,135,0.0,,186597646210
0.7223,2,38.65,135,0.0,,186597646210
0.7346,0,80.86,1530,0.0,,186598242033
0.7346,1,40.52,135,0.0,,186598242033
0.7346,2,38.65,135,0.0,,186598242033
0.7480,0,80.92,1530,0.0,,186598947293
0.7480,1,40.52,135,0.0,,186598947293
0.7480,2,38.65,135,0.0,,186598947293
0.7621,0,80.92,1530,0.0,,186599662745
0.7621,1,40.52,135,0.0,,186599662745
0.7621,2,38.65,135,0.0,,186599662745
0.7743,0,80.38,1530,0.0,,186600267663
0.7743,1,40.52,135,0.0,,186600267663
0.7743,2,38.65,135,0.0,,186600267663
0.7880,0,80.38,1530,0.0,,186600982261
0.7880,1,40.52,135,0.0,,186600982261
0.7880,2,38.65,135,0.0,,186600982261
0.8021,0,80.38,1530,0.0,,186601702535
0.8021,1,40.52,135,0.0,,186601702535
0.8021,2,38.65,135,0.0,,186601702535
0.8143,0,80.92,1530,0.0,,186602301471
0.8143,1,40.52,135,0.0,,186602301471
0.8143,2,38.65,135,0.0,,186602301471
0.8280,0,80.43,1530,0.0,,186602975237
0.8280,1,40.52,135,0.0,,186602975237
0.8280,2,38.65,135,0.0,,186602975237
0.8423,0,80.43,1530,0.0,,186603757034
0.8423,1,40.52,135,0.0,,186603757034
0.8423,2,38.65,135,0.0,,186603757034
0.8545,0,80.38,1530,0.0,,186604358168
0.8545,1,40.52,135,0.0,,186604358168
0.8545,2,38.65,135,0.0,,186604358168
0.8682,0,80.38,1530,0.0,,186605076733
0.8682,1,40.52,135,0.0,,186605076733
0.8682,2,38.65,135,0.0,,186605076733
0.8824,0,80.38,1530,0.0,,186605797373
0.8824,1,40.52,135,0.0,,186605797373
0.8824,2,38.65,135,0.0,,186605797373
0.8946,0,80.38,1530,0.0,,186606394967
0.8946,1,40.52,135,0.0,,186606394967
0.8946,2,38.65,135,0.0,,186606394967
0.9088,0,80.38,1530,0.0,,186607129401
0.9088,1,40.52,135,0.0,,186607129401
0.9088,2,38.65,135,0.0,,186607129401
0.9227,0,80.38,1530,0.0,,186607856083
0.9227,1,40.52,135,0.0,,186607856083
0.9227,2,38.65,135,0.0,,186607856083
0.9349,0,80.38,1530,0.0,,186608456241
0.9349,1,40.52,135,0.0,,186608456241
0.9349,2,38.16,135,0.0,,186608456241
0.9485,0,80.38,1530,0.0,,186609137330
0.9485,1,40.52,135,0.0,,186609137330
0.9485,2,38.65,135,0.0,,186609137330
0.9627,0,80.38,1530,0.0,,186609901061
0.9627,1,40.52,135,0.0,,186609901061
0.9627,2,38.65,135,0.0,,186609901061
0.9751,0,80.38,1530,0.0,,186610507993
0.9751,1,40.52,135,0.0,,186610507993
0.9751,2,38.65,135,0.0,,186610507993
0.9886,0,80.43,1530,0.0,,186611185115
0.9886,1,40.52,135,0.0,,186611185115
0.9886,2,38.16,135,0.0,,186611185115
1.0304,0,80.38,1530,0.0,,186613632253
1.0304,1,40.52,135,0.0,,186613632253
1.0304,2,38.65,135,0.0,,186613632253
1.0434,0,80.38,1530,0.0,,186614284900
1.0434,1,40.52,135,0.0,,186614284900
1.0434,2,38.65,135,0.0,,186614284900
1.0556,0,80.38,1530,0.0,,186614964647
1.0556,1,40.52,135,0.0,,186614964647
1.0556,2,38.65,135,0.0,,186614964647
1.0691,0,80.38,1530,0.0,,186615798568
1.0691,1,40.52,135,0.0,,186615798568
1.0691,2,38.16,135,0.0,,186615798568
1.0831,0,80.38,1530,0.0,,186616699445
1.0831,1,40.52,135,0.0,,186616699445
1.0831,2,38.16,135,0.0,,186616699445
1.0952,0,80.38,1530,0.0,,186617463603
1.0952,1,40.52,135,0.0,,186617463603
1.0952,2,38.65,135,0.0,,186617463603
1.1088,0,80.38,1530,0.0,,186618352394
1.1088,1,40.52,135,0.0,,186618352394
1.1088,2,38.65,135,0.0,,186618352394
1.1211,0,80.38,1530,0.0,,186619113135
1.1211,1,40.52,135,0.0,,186619113135
1.1211,2,38.16,135,0.0,,186619113135
1.1339,0,80.38,1530,0.0,,186619942051
1.1339,1,40.52,135,0.0,,186619942051
1.1339,2,38.16,135,0.0,,186619942051
1.1470,0,80.38,1530,0.0,,186620768038
1.1470,1,40.52,135,0.0,,186620768038
1.1470,2,38.16,135,0.0,,186620768038
1.1592,0,80.38,1530,0.0,,186621530365
1.1592,1,40.52,135,0.0,,186621530365
1.1592,2,38.65,135,0.0,,186621530365
1.1732,0,80.38,1530,0.0,,186622420743
1.1732,1,40.52,135,0.0,,186622420743
1.1732,2,38.65,135,0.0,,186622420743
1.1860,0,80.38,1530,0.0,,186623249049
1.1860,1,40.52,135,0.0,,186623249049
1.1860,2,38.65,135,0.0,,186623249049
1.1981,0,80.38,1530,0.0,,186624007165
1.1981,1,40.52,135,0.0,,186624007165
1.1981,2,38.65,135,0.0,,186624007165
1.2116,0,80.38,1530,0.0,,186624897788
1.2116,1,40.52,135,0.0,,186624897788
1.2116,2,38.65,135,0.0,,186624897788
1.2243,0,80.38,1530,0.0,,186625663594
1.2243,1,40.52,135,0.0,,186625663594
1.2243,2,38.65,135,0.0,,186625663594
1.2364,0,80.38,1530,0.0,,186626422015
1.2364,1,40.52,135,0.0,,186626422015
1.2364,2,38.65,135,0.0,,186626422015
1.2499,0,80.38,1530,0.0,,186627311173
1.2499,1,40.52,135,0.0,,186627311173
1.2499,2,38.16,135,0.0,,186627311173
1.2636,0,80.38,1530,0.0,,186628139052
1.2636,1,40.52,135,0.0,,186628139052
1.2636,2,38.16,135,0.0,,186628139052
1.2758,0,80.38,1530,0.0,,186628899609
1.2758,1,40.52,135,0.0,,186628899609
1.2758,2,38.65,135,0.0,,186628899609
1.2895,0,80.38,1530,0.0,,186629788644
1.2895,1,40.52,135,0.0,,186629788644
1.2895,2,38.16,135,0.0,,186629788644
1.3036,0,80.38,1530,0.0,,186630681037
1.3036,1,40.52,135,0.0,,186630681037
1.3036,2,38.16,135,0.0,,186630681037
1.3157,0,80.38,1530,0.0,,186631445867
1.3157,1,40.52,135,0.0,,186631445867
1.3157,2,38.65,135,0.0,,186631445867
1.3298,0,80.38,1530,0.0,,186632329348
1.3298,1,40.52,135,0.0,,186632329348
1.3298,2,38.65,135,0.0,,186632329348
1.3438,0,80.38,1530,0.0,,186633199830
1.3438,1,40.52,135,0.0,,186633199830
1.3438,2,38.65,135,0.0,,186633199830
1.3560,0,80.38,1530,0.0,,186633950926
1.3560,1,40.52,135,0.0,,186633950926
1.3560,2,38.65,135,0.0,,186633950926
1.3697,0,79.89,1530,0.0,,186634818234
1.3697,1,40.52,135,0.0,,186634818234
1.3697,2,38.65,135,0.0,,186634818234
1.3839,0,79.89,1530,0.0,,186635711420
1.3839,1,40.52,135,0.0,,186635711420
1.3839,2,38.65,135,0.0,,186635711420
1.3960,0,79.89,1530,0.0,,186636473991
1.3960,1,40.52,135,0.0,,186636473991
1.3960,2,38.16,135,0.0,,186636473991
1.4098,0,79.89,1530,0.0,,186637364736
1.4098,1,40.52,135,0.0,,186637364736
1.4098,2,38.65,135,0.0,,186637364736
1.4240,0,79.89,1530,0.0,,186638260913
1.4240,1,40.52,135,0.0,,186638260913
1.4240,2,38.65,135,0.0,,186638260913
1.4361,0,79.89,1530,0.0,,186639023118
1.4361,1,40.52,135,0.0,,186639023118
1.4361,2,38.65,135,0.0,,186639023118
1.4500,0,79.89,1530,0.0,,186639914839
1.4500,1,40.52,135,0.0,,186639914839
1.4500,2,38.16,135,0.0,,186639914839
1.4641,0,79.89,1530,0.0,,186640791607
1.4641,1,40.52,135,0.0,,186640791607
1.4641,2,38.16,135,0.0,,186640791607
1.4801,0,79.89,1530,0.0,,186641748819
1.4801,1,40.52,135,0.0,,186641748819
1.4801,2,38.65,135,0.0,,186641748819
1.4991,0,79.89,1530,0.0,,186642961645
1.4991,1,40.52,135,0.0,,186642961645
1.4991,2,38.65,135,0.0,,186642961645
1.5128,0,79.89,1530,0.0,,186643815098
1.5128,1,40.52,135,0.0,,186643815098
1.5128,2,38.65,135,0.0,,186643815098
1.5258,0,79.89,1530,0.01,,186644466097
1.5258,1,40.52,135,0.0,,186644466097
1.5258,2,38.16,135,0.01,,186644466097
1.5650,0,79.89,1530,0.01,,186646878994
1.5650,1,40.52,135,0.0,,186646878994
1.5650,2,38.16,135,0.01,,186646878994
1.5998,0,79.89,1530,0.01,,186649079550
1.5998,1,40.52,135,0.0,,186649079550
1.5998,2,38.65,135,0.01,,186649079550
1.6138,0,79.89,1530,0.01,,186649915241
1.6138,1,40.52,135,0.0,,186649915241
1.6138,2,38.65,135,0.01,,186649915241
1.6495,0,79.89,1530,0.01,,186652079664
1.6495,1,40.52,135,0.0,,186652079664
1.6495,2,38.16,135,0.01,,186652079664
1.6648,0,79.89,1530,0.01,,186653002879
1.6648,1,40.52,135,0.01,,186653002879
1.6648,2,38.16,1290,0.01,,186653002879
1.6787,0,80.38,1530,0.01,,186653867990
1.6787,1,43.41,1290,0.01,,186653867990
1.6787,2,50.32,1290,0.01,,186653867990
1.6967,0,80.81,1530,0.02,,186654993109
1.6967,1,51.16,1290,0.01,,186654993109
1.6967,2,52.27,1290,0.01,,186654993109
1.7115,0,80.33,1530,0.02,,186655947330
1.7115,1,51.16,1290,0.01,,186655947330
1.7115,2,53.21,1290,0.03,,186655947330
