run,workload,pcap_w,sm_target_mhz,iters_per_s,iterations,wl_elapsed_s,samples,duration_s,power_mean_w,power_std_w,sm_mean_mhz,sm_std_mhz,temp_mean_c,temp_max_c,util_gpu_mean,energy_j,throttle_seen,rate_hz_achieved
bursty_alternating_pcap150_sm1380,bursty_alternating,150,1380,72.264742876396,2514,34.78874897956848,3619,36.6948,139.62469270166454,25.49822304310137,1180.306338028169,69.35800897101679,51.844430217669654,54,0.8992701664532651,5036.628163000008,0x0000000000000001;0x0000000000000004,98.58102269292502
bursty_alternating_pcap150_sm405,bursty_alternating,150,405,14.756103362853521,711,48.183452129364014,3974,50.0913,61.28274311410905,3.128923735269356,405,0.0,47.414277684092184,51,0.9681759415401912,3068.421275000039,0x0000000000000001,79.31374744002983
bursty_alternating_pcap150_sm945,bursty_alternating,150,945,60.0939804747651,2025,33.69721865653992,3525,35.6015,109.41671395579017,18.5138480333055,945,0.0,47.89805344770703,49,0.911774991751897,3830.747240499983,0x0000000000000001;0x0000000000000004,98.97899131149974
bursty_alternating_pcap200_sm1380,bursty_alternating,200,1380,82.94935503209932,2590,31.22387146949768,3269,33.1226,182.03792310456342,41.703668432717784,1355.6259432267339,10.524245515630437,55.58929213079411,59,0.886201940352138,5895.161117999998,0x0000000000000001;0x0000000000000004,98.64264277261574
bursty_alternating_pcap200_sm405,bursty_alternating,200,405,14.830771410093504,711,47.9408643245697,4894,49.8594,60.85019541013406,2.7427597346115102,405,0.0,44.853669620540785,47,0.9735196546239491,3021.128685500098,0x0000000000000001,98.13129758219733
bursty_alternating_pcap200_sm945,bursty_alternating,200,945,60.533880675292934,2028,33.50189971923828,3509,35.4181,117.31625954198473,20.770397086586353,945,0.0,47.6571523398606,50,0.9112479256554928,4077.900477000022,0x0000000000000001,99.02136231755134
bursty_alternating_pcap250_sm1380,bursty_alternating,250,1380,84.59453992013903,2601,30.746665239334106,3224,32.6564,191.50349688758698,45.51943922667422,1380,0.0,56.4013181984621,60,0.8840717685829367,6106.855946500023,0x0000000000000001;0x0000000000000004,98.68640239594275
bursty_alternating_pcap250_sm405,bursty_alternating,250,405,14.792869082958683,711,48.063698530197144,4937,49.9691,60.86357946870779,2.762251336246443,405,0.0,45.33453399369653,48,0.9732327780279153,3030.989390000093,0x0000000000000001,98.76236379209404
bursty_alternating_pcap250_sm945,bursty_alternating,250,945,60.50363039984086,2028,33.51864981651306,3511,35.4193,116.56790119363396,20.677489517374834,945,0.0,47.70623342175066,49,0.9113859416445623,4056.604747500008,0x0000000000000001,99.07535981521076
bursty_alternating_pcap300_sm1380,bursty_alternating,300,1380,84.60995804001293,2601,30.74106240272522,3225,32.64,191.73362005856515,45.267317954644625,1380,0.0,56.464128843338216,60,0.8849084919472914,6108.228561000032,0x0000000000000001,98.74625188165588
