t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0000,110018035308
0.0101,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0705,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0152,110027452215
0.1107,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1813,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0165,110036791729
0.2115,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2216,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2316,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2619,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2719,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3021,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0179,110046288104
0.3122,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3324,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3424,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3727,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3827,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4029,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0152,110055812494
0.4129,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4230,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4331,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4432,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4532,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4633,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4734,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4835,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.4935,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5036,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,0.0166,110065321930
0.5137,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5238,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5338,0,49.34,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5439,0,49.31,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5540,0,49.31,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5640,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5741,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5841,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.5942,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6043,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,0.7190,110087088781
0.6143,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6244,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6345,0,49.28,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6445,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6546,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6647,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6747,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6848,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.6948,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.7049,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,0.2116,110101190307
0.7150,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.7250,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
0.7351,0,49.38,945,877,38,0.0,0.0,273,,0x0000000000000001,,
