t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0000,246600489855
0.0101,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0705,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246609920983
0.1107,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1813,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246619538390
0.2115,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2216,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2316,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2618,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2719,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3021,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246629034093
0.3122,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3324,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3424,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3726,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3827,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4029,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0152,246638512097
0.4129,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4230,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4331,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4432,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4532,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4633,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4734,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4834,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.4935,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5036,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246648096239
0.5137,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5237,0,46.42,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5338,0,46.42,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5439,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5539,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5640,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5741,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5841,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.5942,0,46.36,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6043,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,0.7310,246670290579
0.6143,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6244,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6344,0,46.39,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6445,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6546,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6646,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6747,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6847,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.6948,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7049,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.1992,246684252825
0.7149,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7250,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7350,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7451,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7552,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7652,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7753,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7853,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.7954,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8055,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246694542288
0.8155,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8256,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8356,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8457,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8558,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8658,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8759,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8859,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.8960,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9060,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246704795923
0.9161,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9262,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9362,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9463,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9563,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9664,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9765,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9865,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
0.9966,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0066,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,0.0166,246715113463
1.0167,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0268,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0368,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0469,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
1.0569,0,46.45,405,877,48,0.0,0.0,273,,0x0000000000000001,,
