t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0000,187267194361
0.0101,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0402,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0704,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1006,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,187276657166
0.1107,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1409,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1812,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,187286158057
0.2115,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
