t_s,gpu_index,power_w,sm_clock_mhz,mem_clock_mhz,temperature_c,util_gpu,util_mem,mem_used_mib,fan_pct,throttle_reasons,cpu_util,rapl_pkg_uj
0.0000,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0000,174197270117
0.0101,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0201,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0302,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0403,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0503,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0604,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0705,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0805,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.0906,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1007,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,174206789258
0.1107,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1208,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1309,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1410,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1510,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1611,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1712,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1813,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.1913,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2014,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0165,174216374072
0.2115,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2216,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2316,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2417,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2518,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2619,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2719,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2820,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.2921,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3022,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174226013574
0.3122,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3223,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3324,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3425,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3525,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3626,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3727,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3827,0,64.41,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.3928,0,64.41,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4029,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174235639953
0.4130,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4230,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4331,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4432,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4533,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4633,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4734,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4835,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.4935,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5036,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0165,174245362463
0.5137,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5238,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5338,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5439,0,64.37,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5540,0,64.37,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5640,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5741,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5842,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.5942,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6043,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.7060,174267020305
0.6144,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6244,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6345,0,64.33,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6445,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6546,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6647,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6747,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6848,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.6948,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7049,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.2273,174281523747
0.7150,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7250,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7351,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7452,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7552,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7653,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7754,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7854,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.7955,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8056,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0152,174291958413
0.8157,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8257,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8358,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8459,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8560,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8660,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8761,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8862,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.8963,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9063,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174302237866
0.9164,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9265,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9366,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9466,0,64.41,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9567,0,64.41,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9668,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9768,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9869,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
0.9970,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0071,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174312460924
1.0171,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0272,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0373,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0474,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0574,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0675,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0776,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0877,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.0977,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1078,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174322789022
1.1179,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1280,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1380,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1481,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1582,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1682,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1783,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1884,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.1985,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2085,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0165,174333107294
1.2186,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2287,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2388,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2488,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2589,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2690,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2790,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2891,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.2992,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3093,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,0.0166,174343373992
1.3193,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3294,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3395,0,63.97,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3496,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3596,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3697,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3798,0,64.45,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3899,0,63.92,1380,877,47,0.0,0.0,273,,0x0000000000000001,,
1.3999,0,63.92,1380,877,47,0.0,0.0,274,,0x0000000000000001,,
1.4100,0,63.97,1380,877,47,0.0,0.0,276,,0x0000000000000001,0.0152,174353639956
