country,mw,tier,tier_name,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,cfe_lift_pp_vs_t0
SE,1.0000,4,T4,20260524,1994,6378.2154,70552.4961,84025.6006,0.8584,45.4509,100.0000,11.3153,15.2012,167.5619,424.2234,1.6741
SE,1.0000,5,T5,20260517,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260518,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260519,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260520,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260521,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260522,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260523,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,1.0000,5,T5,20260524,1994,6378.2154,70860.3313,85719.5763,0.8621,44.3576,100.0000,11.3275,15.4610,172.6894,457.1975,0.5809
SE,10.0000,0,T0,20260517,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260519,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260518,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260520,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260521,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260522,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260523,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,0,T0,20260524,1994,60314.7771,669842.1980,1424667.8415,8.1497,44.4475,100.0000,11.3231,15.1422,172.4286,457.1975,0.0000
SE,10.0000,1,T1,20260517,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260518,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
